layer,Cotas,Cota_MDERa,Dif_MDERaf
Puntos IGN,2.9,2.05619,-0.844
Puntos IGN,2.2,1.84194,-0.358
Puntos IGN,2.7,1.42508,-1.275
Puntos IGN,2,1.39902,-0.601
Puntos IGN,1.8,1.30045,-0.5
Puntos IGN,1.6,1.27252,-0.327
Puntos IGN,2.9,1.62242,-1.278
Puntos IGN,1.8,1.45474,-0.345
Puntos IGN,1.3,1.54017,0.24
Puntos IGN,1.9,1.7162,-0.184
Puntos IGN,1.6,1.44781,-0.152
Puntos IGN,2.2,1.49935,-0.701
Puntos IGN,2.1,1.49727,-0.603
Puntos IGN,1.8,1.36728,-0.433
Puntos IGN,2.5,1.79418,-0.706
Puntos IGN,1.9,1.89567,-0.004
Puntos IGN,2.2,1.36814,-0.832
Puntos IGN,1.8,1.5985,-0.202
Puntos IGN,2,2.7942,0.794
Puntos IGN,1.9,3.82538,1.925
Puntos IGN,2.9,2.39337,-0.507
Puntos IGN,2.2,2.85581,0.656
Puntos IGN,2.4,3.04686,0.647
Puntos IGN,1.7,2.68114,0.981
Puntos IGN,2.3,2.6556,0.356
Puntos IGN,1.8,2.24778,0.448
Puntos IGN,2.9,3.27215,0.372
Puntos IGN,2.4,3.09759,0.698
Puntos IGN,2.1,2.89939,0.799
Puntos IGN,2.8,2.09484,-0.705
Puntos IGN,2.1,2.06735,-0.033
Puntos IGN,1.8,1.63854,-0.161
Puntos IGN,2.6,3.2095,0.609
Puntos IGN,2.9,3.48852,0.589
Puntos IGN,2.1,3.21636,1.116
Puntos IGN,2,1.53386,-0.466
Puntos IGN,2.2,2.79194,0.592
Puntos IGN,1.9,2.97221,1.072
Puntos IGN,2.3,1.89242,-0.408
Puntos IGN,1.6,2.38849,0.788
Puntos IGN,2.4,2.16854,-0.231
Puntos IGN,1.6,2.59214,0.992
Puntos IGN,2,2.66972,0.67
Puntos IGN,2.7,2.94679,0.247
Puntos IGN,1.6,2.75314,1.153
Puntos IGN,2.1,2.88564,0.786
Puntos IGN,2.5,2.29168,-0.208
Puntos IGN,2.4,2.49273,0.093
Puntos IGN,2.7,2.65602,-0.044
Puntos IGN,2.7,2.60891,-0.091
Puntos IGN,3,2.95015,-0.05
Puntos IGN,2.2,3.36856,1.169
Puntos IGN,2.5,2.79751,0.298
Puntos IGN,2.6,2.2331,-0.367
Puntos IGN,1.6,1.44433,-0.156
Puntos IGN,1.7,1.29296,-0.407
Puntos IGN,2.4,2.84341,0.443
Puntos IGN,2,2.47046,0.47
Puntos IGN,1.8,1.51585,-0.284
Puntos IGN,1.4,2.04808,0.648
Puntos IGN,1.3,1.80688,0.507
Puntos IGN,1.3,1.22469,-0.075
Puntos IGN,1.1,2.22376,1.124
Puntos IGN,1.6,2.09427,0.494
Puntos IGN,2,2.11057,0.111
Puntos IGN,1.6,2.10907,0.509
Puntos IGN,1.6,1.76778,0.168
Puntos IGN,1.6,2.17161,0.572
Puntos IGN,1.6,1.73278,0.133
Puntos IGN,1.9,1.71729,-0.183
Puntos IGN,2.1,1.63432,-0.466
Puntos IGN,2,1.56054,-0.439
Puntos IGN,1.6,2.24197,0.642
Puntos IGN,1.4,1.80447,0.404
Puntos IGN,1.7,2.0604,0.36
Puntos IGN,2.1,1.70775,-0.392
Puntos IGN,1.7,1.54733,-0.153
Puntos IGN,1.6,1.22052,-0.379
Puntos IGN,1.4,1.89128,0.491
Puntos IGN,1.3,2.52996,1.23
Puntos IGN,2,1.80866,-0.191
Puntos IGN,1.8,1.76958,-0.03
Puntos IGN,1.2,0.89177,-0.308
Puntos IGN,1.5,1.02241,-0.478
Puntos IGN,1.3,2.53452,1.235
Puntos IGN,1.5,1.72118,0.221
Puntos IGN,1.8,1.90726,0.107
Puntos IGN,1.7,1.88764,0.188
Puntos IGN,2.2,2.09222,-0.108
Puntos IGN,1.3,1.9749,0.675
Puntos IGN,2.2,1.16827,-1.032
Puntos IGN,1.4,0.78849,-0.612
Puntos IGN,1.8,0.73168,-1.068
Puntos IGN,1.2,0.54569,-0.654
Puntos IGN,1.2,0.26053,-0.939
Puntos IGN,2.1,0.97142,-1.129
Puntos IGN,1.6,0.35543,-1.245
Puntos IGN,2.3,0.20152,-2.098
Puntos IGN,2.2,1.65836,-0.542
Puntos IGN,2.3,1.55607,-0.744
Puntos IGN,2.1,1.34192,-0.758
Puntos IGN,1.8,1.4312,-0.369
Puntos IGN,1.6,2.07321,0.473
Puntos IGN,1.6,1.93018,0.33
Puntos IGN,1.9,1.89813,-0.002
Puntos IGN,1.6,2.25715,0.657
Puntos IGN,1.9,1.34568,-0.554
Puntos IGN,1.7,1.34216,-0.358
Puntos IGN,1.7,1.82331,0.123
Puntos IGN,1.3,1.95012,0.65
Puntos IGN,1.8,1.63645,-0.164
Puntos IGN,1.5,2.10631,0.606
Puntos IGN,1,1.58295,0.583
Puntos IGN,1.1,1.35232,0.252
Puntos IGN,1.1,1.38604,0.286
Puntos IGN,1.1,1.54638,0.446
Puntos IGN,1.4,1.8264,0.426
Puntos IGN,1.8,1.45974,-0.34
Puntos IGN,1.4,1.85048,0.45
Puntos IGN,1.8,1.96246,0.162
Puntos IGN,1.1,0.80556,-0.294
Puntos IGN,1.1,1.00162,-0.098
Puntos IGN,1.7,1.08665,-0.613
Puntos IGN,2.2,1.14585,-1.054
Puntos IGN,1.9,1.40961,-0.49
Puntos IGN,1.9,1.67278,-0.227
Puntos IGN,1.8,1.76078,-0.039
Puntos IGN,1.4,1.96388,0.564
Puntos IGN,1.4,1.11277,-0.287
Puntos IGN,1.6,1.97985,0.38
Puntos IGN,2.5,1.54241,-0.958
Puntos IGN,2,1.71092,-0.289
Puntos IGN,1.8,1.30841,-0.492
Puntos IGN,1.6,1.16143,-0.439
Puntos IGN,1.7,1.94325,0.243
Puntos IGN,2.3,1.64434,-0.656
Puntos IGN,1.9,1.83664,-0.063
Puntos IGN,2.2,1.93544,-0.265
Puntos IGN,1.3,0.6264,-0.674
Puntos IGN,1.4,0.56949,-0.831
Puntos IGN,2.3,1.00159,-1.298
Puntos IGN,2.1,0.8306,-1.269
Puntos IGN,1.7,1.20589,-0.494
Puntos IGN,1.7,1.68482,-0.015
Puntos IGN,1.7,0.68118,-1.019
Puntos IGN,1.9,0.9818,-0.918
Puntos IGN,1.8,1.35085,-0.449
Puntos IGN,1.6,1.36043,-0.24
Puntos IGN,2.1,1.06387,-1.036
Puntos IGN,2,1.4398,-0.56
Puntos IGN,2.1,0.77849,-1.322
Puntos IGN,1.7,0.6677,-1.032
Puntos IGN,1.85,1.38131,-0.469
Puntos IGN,1.5,1.42901,-0.071
Puntos IGN,2.2,1.12181,-1.078
Puntos IGN,1.9,1.42446,-0.476
Puntos IGN,2.1,1.04613,-1.054
Puntos IGN,2,1.2596,-0.74
Puntos IGN,1.4,1.11232,-0.288
Puntos IGN,1.8,0.90887,-0.891
Puntos IGN,1.8,1.66697,-0.133
Puntos IGN,1.8,1.69976,-0.1
Puntos IGN,2.4,1.47401,-0.926
Puntos IGN,2.2,0.97812,-1.222
Puntos IGN,2.1,1.67544,-0.425
Puntos IGN,2,1.17789,-0.822
Puntos IGN,1.4,1.11645,-0.284
Puntos IGN,1.9,2.10889,0.209
Puntos IGN,1.5,1.09708,-0.403
Puntos IGN,1.5,1.03392,-0.466
Puntos IGN,1.7,1.37127,-0.329
Puntos IGN,1.6,1.70992,0.11
Puntos IGN,1.9,1.77489,-0.125
Puntos IGN,1.9,1.81899,-0.081
Puntos IGN,1.5,1.0262,-0.474
Puntos IGN,1.9,2.51528,0.615
Puntos IGN,2.4,1.10892,-1.291
Puntos IGN,2.4,0.78393,-1.616
Puntos IGN,1.4,1.89851,0.499
Puntos IGN,1.9,2.08917,0.189
Puntos IGN,1.1,1.34625,0.246
Puntos IGN,1.4,1.8518,0.452
Puntos IGN,1.5,2.2432,0.743
Puntos IGN,1.8,2.61082,0.811
Puntos IGN,1.3,2.111,0.811
Puntos IGN,1.4,1.74564,0.346
Puntos IGN,1.3,2.09732,0.797
Puntos IGN,1.5,1.73171,0.232
Puntos IGN,1.2,2.32364,1.124
Puntos IGN,1.6,2.15473,0.555
Puntos IGN,1.7,1.51554,-0.184
Puntos IGN,1.4,1.8343,0.434
Puntos IGN,2.2,2.15734,-0.043
Puntos IGN,2.1,2.10477,0.005
Puntos IGN,1.11,2.05512,0.945
Puntos IGN,1.4,2.15836,0.758
Puntos IGN,1.55,1.91208,0.362
Puntos IGN,1.5,1.66408,0.164
Puntos IGN,1.2,1.12199,-0.078
Puntos IGN,1.6,1.37871,-0.221
Puntos IGN,1.4,2.379,0.979
Puntos IGN,1.7,1.55972,-0.14
Puntos IGN,1.3,2.31067,1.011
Puntos IGN,1.1,1.34625,0.246
Puntos IGN,2,2.05849,0.058
Puntos IGN,1.3,2.44427,1.144
Puntos IGN,1.6,2.06726,0.467
Puntos IGN,1.7,1.97268,0.273
Puntos IGN,1.4,1.86263,0.463
Puntos IGN,1,1.36764,0.368
Puntos IGN,2.2,2.79265,0.593
Puntos IGN,2.17,2.82912,0.659
Puntos IGN,1.1,1.49164,0.392
Puntos IGN,1,1.75947,0.759
Puntos IGN,6.9,5.41218,-1.488
Puntos IGN,7.2,3.24031,-3.96
Puntos IGN,0.7,1.70974,1.01
Puntos IGN,1.8,1.55614,-0.244
Puntos IGN,4.9,3.09008,-1.81
Puntos IGN,2.4,2.91184,0.512
Puntos IGN,3.9,1.7395,-2.161
Puntos IGN,1,2.05492,1.055
Puntos IGN,5.9,4.94616,-0.954
Puntos IGN,2.3,1.84368,-0.456
Puntos IGN,8.6,6.94821,-1.652
Puntos IGN,6.1,4.38806,-1.712
Puntos IGN,3.4,3.02592,-0.374
Puntos IGN,2.6,2.9705,0.37
Puntos IGN,6.8,4.89139,-1.909
Puntos IGN,5.7,3.25261,-2.447
Puntos IGN,2.6,3.07325,0.473
Puntos IGN,3.2,2.82353,-0.376
Puntos IGN,2.5,2.82254,0.323
Puntos IGN,5.7,5.56733,-0.133
Puntos IGN,9.7,6.59445,-3.106
Puntos IGN,1.3,4.03089,2.731
Puntos IGN,3.8,3.05135,-0.749
Puntos IGN,3.1,3.05968,-0.04
Puntos IGN,2.3,2.62794,0.328
Puntos IGN,4.2,3.23051,-0.969
Puntos IGN,5,4.09213,-0.908
Puntos IGN,3,2.74803,-0.252
Puntos IGN,4.8,3.79576,-1.004
Puntos IGN,2.5,2.18342,-0.317
Puntos IGN,4.1,4.13942,0.039
Puntos IGN,6.7,5.74305,-0.957
Puntos IGN,4,3.8533,-0.147
Puntos IGN,3,2.61958,-0.38
Puntos IGN,5.9,4.08376,-1.816
Puntos IGN,5.5,2.84802,-2.652
Puntos IGN,4.4,3.6567,-0.743
Puntos IGN,2,1.79532,-0.205
Puntos IGN,4.7,2.44585,-2.254
Puntos IGN,7.8,8.3008,0.501
Puntos IGN,9.5,6.08108,-3.419
Puntos IGN,9.6,6.19716,-3.403
Puntos IGN,1.9,1.44228,-0.458
Puntos IGN,2.2,1.6289,-0.571
Relevamiento Victoria,7.245,7.37736,0.132
Relevamiento Victoria,5.989,5.95769,-0.031
Relevamiento Victoria,7.006,6.75379,-0.252
Relevamiento Victoria,6.075,6.32314,0.248
Relevamiento Victoria,6.756,5.69155,-1.064
Relevamiento Victoria,4.829,5.41016,0.581
Relevamiento Victoria,6.501,5.87138,-0.63
Relevamiento Victoria,6.518,6.06119,-0.457
Relevamiento Victoria,5.633,5.44081,-0.192
Relevamiento Victoria,6.786,5.49685,-1.289
Relevamiento Victoria,4.54,5.03391,0.494
Relevamiento Victoria,5.887,5.54682,-0.34
Relevamiento Victoria,5.367,5.47523,0.108
Relevamiento Victoria,6.961,7.08763,0.127
Relevamiento Victoria,6.816,5.49685,-1.319
Relevamiento Victoria,6.475,5.48595,-0.989
Relevamiento Victoria,6.59,6.91505,0.325
Relevamiento Victoria,6.175,6.01399,-0.161
Relevamiento Victoria,6.616,7.38012,0.764
Relevamiento Victoria,7.161,6.79181,-0.369
Relevamiento Victoria,5.312,4.9432,-0.369
Relevamiento Victoria,4.322,5.22195,0.9
Relevamiento Victoria,6.094,5.97343,-0.121
Relevamiento Victoria,5.552,4.94433,-0.608
Relevamiento Victoria,4.282,4.65085,0.369
Relevamiento Victoria,7.616,5.7837,-1.832
Relevamiento Victoria,4.515,4.76953,0.255
Relevamiento Victoria,4.692,4.54765,-0.144
Relevamiento Victoria,6.833,6.31534,-0.518
Relevamiento Victoria,5.784,6.28027,0.496
Relevamiento Victoria,7.162,5.77286,-1.389
Relevamiento Victoria,7.442,6.27555,-1.166
Relevamiento Victoria,6.437,5.06017,-1.377
Relevamiento Victoria,7.473,6.04113,-1.432
Relevamiento Victoria,6.035,6.06574,0.031
Relevamiento Victoria,6.33,6.25547,-0.075
Relevamiento Victoria,7.537,6.22373,-1.313
Relevamiento Victoria,6.294,5.63163,-0.662
Relevamiento Victoria,7.19,6.28286,-0.907
Relevamiento Victoria,6.955,6.33423,-0.621
Relevamiento Victoria,5.155,5.10953,-0.045
Relevamiento Victoria,3.579,5.27101,1.692
Relevamiento Victoria,5.339,5.85543,0.516
Relevamiento Victoria,5.002,5.90768,0.906
Relevamiento Victoria,4.268,5.97116,1.703
Relevamiento Victoria,5.401,5.90713,0.506
Relevamiento Victoria,4.875,5.76243,0.887
Relevamiento Victoria,4.923,5.87573,0.953
Relevamiento Victoria,7.374,6.65579,-0.718
Relevamiento Victoria,5.468,6.2218,0.754
Relevamiento Victoria,6.272,5.94232,-0.33
Relevamiento Victoria,5.053,6.7794,1.726
Relevamiento Victoria,5.313,5.88116,0.568
Relevamiento Victoria,5.437,6.0053,0.568
Relevamiento Victoria,6.536,6.16983,-0.366
Relevamiento Victoria,5.202,5.9416,0.74
Relevamiento Victoria,5.804,6.08897,0.285
Relevamiento Victoria,6.674,6.76961,0.096
Relevamiento Victoria,5.739,5.69452,-0.044
Relevamiento Victoria,6.049,5.97755,-0.071
Relevamiento Victoria,4.27,4.95631,0.686
Relevamiento Victoria,3.86,4.87395,1.014
Relevamiento Victoria,7.153,6.53525,-0.618
Relevamiento Victoria,4.623,5.97272,1.35
Relevamiento Victoria,5.5,4.62743,-0.873
Relevamiento Victoria,4.26,4.57556,0.316
Relevamiento Victoria,4.23,4.60564,0.376
Relevamiento Victoria,4.16,4.62743,0.467
Relevamiento Victoria,3.95,4.53427,0.584
Relevamiento Victoria,4.36,4.72262,0.363
Relevamiento Victoria,4.26,4.8077,0.548
Relevamiento Victoria,5.46,4.8077,-0.652
Relevamiento Victoria,3.96,4.32297,0.363
Relevamiento Victoria,4.23,4.50036,0.27
Relevamiento Victoria,4.42,4.60281,0.183
Relevamiento Victoria,4.73,4.90269,0.173
Relevamiento Victoria,3.87,4.35533,0.485
Relevamiento Victoria,4.75,4.65449,-0.096
Relevamiento Victoria,3.98,4.68729,0.707
Relevamiento Victoria,4.48,4.49517,0.015
Relevamiento Victoria,4.66,5.64295,0.983
Relevamiento Victoria,5.5,5.60012,0.1
Relevamiento Victoria,4.1,4.73096,0.631
Relevamiento Victoria,5.76,5.75459,-0.005
Relevamiento Victoria,5.01,5.08326,0.073
Relevamiento Victoria,5.28,5.07442,-0.206
Relevamiento Victoria,6.07,5.56568,-0.504
Relevamiento Victoria,4.07,5.4925,1.422
Relevamiento Victoria,3.8,4.47202,0.672
Relevamiento Victoria,4.52,4.70209,0.182
Relevamiento Victoria,5.46,5.0234,-0.437
Relevamiento Victoria,4.74,4.59773,-0.142
Relevamiento Victoria,4.47,5.1437,0.674
Relevamiento Victoria,5.92,5.41647,-0.504
Relevamiento Victoria,3.82,4.3415,0.522
Relevamiento Victoria,6.48,5.49321,-0.987
Relevamiento Victoria,5.82,5.13215,-0.688
Relevamiento Victoria,5.79,4.87683,-0.913
Relevamiento Victoria,5.32,5.42636,0.106
Relevamiento Victoria,4.31,5.2846,0.975
Relevamiento Victoria,4.43,4.68811,0.258
Relevamiento Victoria,4.03,4.81999,0.79
Relevamiento Victoria,5.89,4.96223,-0.928
Relevamiento Victoria,4.33,4.66565,0.336
Relevamiento Victoria,6.22,6.00708,-0.213
Relevamiento Victoria,5.49,5.83092,0.341
Relevamiento Victoria,6.23,5.74126,-0.489
Relevamiento Victoria,6.6,6.37974,-0.22
Relevamiento Victoria,6.37,4.92966,-1.44
Relevamiento Victoria,4.69,5.07391,0.384
Relevamiento Victoria,5.14,5.53834,0.398
Relevamiento Victoria,5.34,5.50077,0.161
Relevamiento Victoria,8.517,7.22024,-1.297
Relevamiento Victoria,8.542,7.90771,-0.634
Relevamiento Victoria,5.15,5.26246,0.112
Relevamiento Victoria,4.75,5.23213,0.482
Relevamiento Victoria,9.549,7.74148,-1.808
Relevamiento Victoria,9.49,8.79012,-0.7
Relevamiento Victoria,8.94,8.09977,-0.84
Relevamiento Victoria,8.68,7.06211,-1.618
Relevamiento Victoria,9.059,7.14532,-1.914
Relevamiento Victoria,9.532,7.31104,-2.221
Relevamiento Victoria,10.619,9.12669,-1.492
Relevamiento Victoria,7.707,7.88502,0.178
Relevamiento Victoria,9.135,7.93976,-1.195
Relevamiento Victoria,6.945,7.40652,0.462
Relevamiento Victoria,9.578,7.36127,-2.217
Relevamiento Victoria,7.148,8.33591,1.188
Relevamiento Victoria,7.192,6.79033,-0.402
Relevamiento Victoria,6.077,6.90577,0.829
Relevamiento Victoria,6.655,7.27693,0.622
Relevamiento Victoria,5.552,6.40234,0.85
Relevamiento Victoria,7.972,6.94351,-1.028
Relevamiento Victoria,7.99,7.01178,-0.978
Relevamiento Victoria,10.798,7.78349,-3.015
Relevamiento Victoria,8.648,7.79292,-0.855
Relevamiento Victoria,5.583,5.83846,0.255
Relevamiento Victoria,6.366,6.66001,0.294
Relevamiento Victoria,7.133,6.99952,-0.133
Relevamiento Victoria,6.986,6.54546,-0.441
Relevamiento Victoria,5.563,5.57946,0.016
Relevamiento Victoria,5.05,5.36936,0.319
Relevamiento Victoria,5.534,6.05146,0.517
Relevamiento Victoria,6.123,5.71636,-0.407
Relevamiento Victoria,6.171,5.30246,-0.869
Relevamiento Victoria,5.359,5.30539,-0.054
Relevamiento Victoria,5.992,5.75043,-0.242
Relevamiento Victoria,6.432,5.46243,-0.97
Relevamiento Victoria,4.96,5.14068,0.181
Relevamiento Victoria,4.92,5.01278,0.093
Relevamiento Victoria,5.909,5.20916,-0.7
Relevamiento Victoria,6.079,6.88898,0.81
Puntos IGN,2.5,2.30657,-0.193
Puntos IGN,2.4,2.06981,-0.33
Puntos IGN,1.7,2.04366,0.344
Puntos IGN,2.3,2.04067,-0.259
Puntos IGN,2,2.08865,0.089
Puntos IGN,2.7,2.28952,-0.41
Puntos IGN,2.3,1.75832,-0.542
Puntos IGN,2.2,1.82931,-0.371
Puntos IGN,2.3,2.06708,-0.233
Puntos IGN,2.5,1.86231,-0.638
Puntos IGN,2.6,2.34452,-0.255
Puntos IGN,2.6,2.34363,-0.256
Puntos IGN,2.7,2.39967,-0.3
Puntos IGN,2.4,2.17092,-0.229
Puntos IGN,2.6,1.78064,-0.819
Puntos IGN,2.6,2.43659,-0.163
Puntos IGN,3.1,2.9093,-0.191
Puntos IGN,2.7,2.90048,0.2
Puntos IGN,2.3,2.40522,0.105
Puntos IGN,3.2,3.01997,-0.18
Puntos IGN,5.3,4.31392,-0.986
Puntos IGN,4.7,4.88476,0.185
Puntos IGN,3,2.82767,-0.172
Puntos IGN,6.3,5.22454,-1.075
Puntos IGN,5.9,5.58844,-0.312
Puntos IGN,5.2,5.72749,0.527
Puntos IGN,4.5,3.9592,-0.541
Puntos IGN,3.2,3.50038,0.3
Puntos IGN,3.1,2.28568,-0.814
Puntos IGN,2.6,2.37509,-0.225
Puntos IGN,4.6,3.77788,-0.822
Puntos IGN,4.5,4.09354,-0.406
Puntos IGN,2.6,2.88934,0.289
Puntos IGN,2.7,2.21639,-0.484
Puntos IGN,2.6,2.5541,-0.046
Puntos IGN,2.6,2.48354,-0.116
Puntos IGN,2.6,2.41427,-0.186
Puntos IGN,2.7,2.92115,0.221
Puntos IGN,3.1,2.40635,-0.694
Puntos IGN,4,2.38914,-1.611
Puntos IGN,2.6,2.31707,-0.283
Puntos IGN,3.7,2.29378,-1.406
Puntos IGN,4,2.38947,-1.611
Puntos IGN,2.9,2.21337,-0.687
Puntos IGN,3.9,2.37551,-1.524
Puntos IGN,3.6,2.43738,-1.163
Puntos IGN,3.4,2.40892,-0.991
Puntos IGN,2.6,2.31749,-0.283
Puntos IGN,2.8,2.28355,-0.516
Puntos IGN,3.9,2.47963,-1.42
Puntos IGN,3.6,2.34946,-1.251
Puntos IGN,3,2.31808,-0.682
Puntos IGN,2.6,2.53989,-0.06
Puntos IGN,3.3,2.75714,-0.543
Puntos IGN,3,2.27513,-0.725
Puntos IGN,2.9,2.418,-0.482
Puntos IGN,3.4,2.56165,-0.838
Puntos IGN,3.4,3.03874,-0.361
Puntos IGN,3,2.34767,-0.652
Puntos IGN,3.6,2.25107,-1.349
Puntos IGN,3.1,2.88063,-0.219
Puntos IGN,2.9,2.85962,-0.04
Puntos IGN,3.5,3.0325,-0.467
Puntos IGN,2.8,2.93482,0.135
Puntos IGN,3.9,4.42377,0.524
Puntos IGN,3.3,4.65089,1.351
Puntos IGN,2.7,2.88944,0.189
Puntos IGN,2.9,2.89684,-0.003
Puntos IGN,2.6,2.82139,0.221
Puntos IGN,2.1,1.95683,-0.143
Puntos IGN,3,2.97103,-0.029
Puntos IGN,2.6,2.92512,0.325
Puntos IGN,4,2.16708,-1.833
Puntos IGN,2.6,1.96593,-0.634
Puntos IGN,1.8,1.54799,-0.252
Puntos IGN,4.5,1.78088,-2.719
Puntos IGN,2.2,2.01562,-0.184
Puntos IGN,2.3,2.3588,0.059
Puntos IGN,3.1,1.98306,-1.117
Puntos IGN,2,2.09115,0.091
Puntos IGN,2.6,1.90461,-0.695
Puntos IGN,2.4,2.30657,-0.093
Puntos IGN,2.3,1.9341,-0.366
Puntos IGN,2,1.80444,-0.196
Puntos IGN,2.1,3.01844,0.918
Puntos IGN,2.3,2.67967,0.38
Puntos IGN,2.3,2.30837,0.008
Puntos IGN,2.1,2.28419,0.184
Puntos IGN,2.7,2.57161,-0.128
Puntos IGN,5,4.18297,-0.817
Puntos IGN,2.8,2.62514,-0.175
Puntos IGN,8.1,5.44817,-2.652
Puntos IGN,3.1,2.31187,-0.788
Puntos IGN,5,2.65508,-2.345
Puntos IGN,6,5.28183,-0.718
Puntos IGN,6,4.83244,-1.168
Puntos IGN,5.7,2.13146,-3.569
Puntos IGN,5.8,2.36855,-3.431
Puntos IGN,3.9,3.12461,-0.775
Puntos IGN,4,3.04233,-0.958
Puntos IGN,9.3,5.91186,-3.388
Puntos IGN,1.5,2.20625,0.706
Puntos IGN,1,2.48411,1.484
Puntos IGN,2.3,1.40322,-0.897
Puntos IGN,2.5,2.21548,-0.285
Puntos IGN,1.5,1.56062,0.061
Puntos IGN,4.7,3.98855,-0.711
Puntos IGN,2.7,2.75469,0.055
Puntos IGN,7,5.45717,-1.543
Puntos IGN,3,2.59975,-0.4
Puntos IGN,7,4.20738,-2.793
Puntos IGN,4,4.30494,0.305
Puntos IGN,4,1.92353,-2.076
Puntos IGN,3,2.26945,-0.731
Puntos IGN,6,3.42586,-2.574
Puntos IGN,5,5.04819,0.048
Puntos IGN,2,2.10285,0.103
Puntos IGN,3,1.97213,-1.028
Puntos IGN,3,1.94282,-1.057
Puntos IGN,4,1.64687,-2.353
Puntos IGN,3,1.34693,-1.653
Puntos IGN,2,2.35432,0.354
Puntos IGN,5,2.14168,-2.858
Puntos IGN,2,1.25648,-0.744
Puntos IGN,4,3.84898,-0.151
Puntos IGN,5,4.8966,-0.103
Puntos IGN,2,2.75331,0.753
Puntos IGN,2,1.34963,-0.65
Puntos IGN,3,3.60386,0.604
Puntos IGN,3,2.43753,-0.562
Puntos IGN,4,3.31674,-0.683
Puntos IGN,4,4.02436,0.024
Puntos IGN,5,2.69167,-2.308
Puntos IGN,4,2.57578,-1.424
Puntos IGN,5,2.62204,-2.378
Puntos IGN,4,2.45912,-1.541
Puntos IGN,3,2.67894,-0.321
Puntos IGN,3,2.87979,-0.12
Puntos IGN,4,2.8541,-1.146
Puntos IGN,3,2.78518,-0.215
Puntos IGN,3,2.63557,-0.364
Puntos IGN,3,2.63227,-0.368
Puntos IGN,3,2.87111,-0.129
Puntos IGN,3,2.60321,-0.397
Puntos IGN,4,2.6258,-1.374
Puntos IGN,4,2.36392,-1.636
Puntos IGN,3,2.4893,-0.511
Puntos IGN,3,2.67013,-0.33
Puntos IGN,4,2.54305,-1.457
Puntos IGN,4,2.71866,-1.281
Puntos IGN,3,2.61602,-0.384
Puntos IGN,4,2.62696,-1.373
Puntos IGN,4,2.70482,-1.295
Puntos IGN,4,2.428,-1.572
Puntos IGN,4,2.63244,-1.368
Puntos IGN,4,2.57026,-1.43
Puntos IGN,3,2.4599,-0.54
Puntos IGN,3,2.55147,-0.449
Puntos IGN,3,2.73418,-0.266
Puntos IGN,4,2.60397,-1.396
Puntos IGN,3,2.36444,-0.636
Puntos IGN,3,2.29525,-0.705
Puntos IGN,3,2.28652,-0.713
Puntos IGN,3,2.44075,-0.559
Puntos IGN,3,2.49689,-0.503
Puntos IGN,4,2.63005,-1.37
Puntos IGN,3,2.34118,-0.659
Puntos IGN,3,2.34302,-0.657
Puntos IGN,3,2.5964,-0.404
Puntos IGN,3,2.96185,-0.038
Puntos IGN,3,2.73806,-0.262
Puntos IGN,3,2.70241,-0.298
Puntos IGN,3,2.55013,-0.45
Puntos IGN,4,2.8228,-1.177
Puntos IGN,3,2.93811,-0.062
Puntos IGN,3,2.88274,-0.117
Puntos IGN,3,2.96927,-0.031
Puntos IGN,4,3.08378,-0.916
Puntos IGN,3,2.05972,-0.94
Puntos IGN,3,2.73433,-0.266
Puntos IGN,4,2.65066,-1.349
Puntos IGN,3,2.60043,-0.4
Puntos IGN,3,2.88991,-0.11
Puntos IGN,4,2.9033,-1.097
Puntos IGN,3,2.43048,-0.57
Puntos IGN,3,2.62937,-0.371
Puntos IGN,3,2.80762,-0.192
Puntos IGN,4,2.70312,-1.297
Puntos IGN,3,2.54859,-0.451
Puntos IGN,5,2.56881,-2.431
Puntos IGN,3,2.72982,-0.27
Puntos IGN,3,2.69654,-0.303
Puntos IGN,4,2.44704,-1.553
Puntos IGN,3,2.39862,-0.601
Puntos IGN,2,2.5726,0.573
Puntos IGN,5,2.42812,-2.572
Puntos IGN,3,2.44977,-0.55
Puntos IGN,3,2.45471,-0.545
Puntos IGN,3,2.48026,-0.52
Puntos IGN,3,2.52826,-0.472
Puntos IGN,3,2.36925,-0.631
Puntos IGN,3,2.57553,-0.424
Puntos IGN,3,2.44655,-0.553
Puntos IGN,3,2.37163,-0.628
Puntos IGN,4,2.47121,-1.529
Puntos IGN,3,2.5126,-0.487
Puntos IGN,4,2.67296,-1.327
Puntos IGN,3,2.72685,-0.273
Puntos IGN,3,2.50469,-0.495
Puntos IGN,2,2.82927,0.829
Puntos IGN,3,2.47608,-0.524
Puntos IGN,3,2.68517,-0.315
Puntos IGN,3,2.39126,-0.609
Puntos IGN,2,2.47337,0.473
Puntos IGN,3,2.45876,-0.541
Puntos IGN,3,2.53728,-0.463
Puntos IGN,3,2.53044,-0.47
Puntos IGN,3,2.60925,-0.391
Puntos IGN,3,2.57215,-0.428
Puntos IGN,3,2.65001,-0.35
Puntos IGN,3,2.36072,-0.639
Puntos IGN,3,2.35452,-0.645
Puntos IGN,3,2.40606,-0.594
Puntos IGN,3,2.50911,-0.491
Puntos IGN,3,2.53061,-0.469
Puntos IGN,3,2.58157,-0.418
Puntos IGN,3,2.30944,-0.691
Puntos IGN,3,2.41452,-0.585
Puntos IGN,4,2.64507,-1.355
