layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,8.2,6.1704,-2.03,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,9.3,6.1464,-3.154,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.1,6.26546,-0.835,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.1,6.2023,-0.898,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.6,6.21119,-1.389,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,8,6.22759,-1.772,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.4,6.5123,-0.888,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.7,6.74971,-0.95,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.6,6.67395,-0.926,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,5.8,6.33437,0.534,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.4,6.02527,-1.375,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.7,6.47229,-1.228,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.8,6.13768,-1.662,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.6,6.73418,-0.866,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,9.3,7.26737,-2.033,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,8.9,7.27231,-1.628,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.6,6.92187,-0.678,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.9,6.71694,-1.183,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.4,5.79163,-1.608,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.7,6.4296,-1.27,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.4,6.7661,-0.634,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Puntos IGN,7.2,7.26494,0.065,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.295,6.13791,-0.157,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.51,7.43598,-0.074,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.006,6.34322,-0.663,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.075,6.26734,0.192,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,7.245,7.19703,-0.048,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,5.989,5.66272,-0.326,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.501,5.67384,-0.827,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.518,5.90429,-0.614,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.786,5.59351,-1.192,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.816,5.59351,-1.222,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
Relevamiento Victoria,6.475,5.60242,-0.873,Humedales de los derrames y espiras de antiguos cauces del Parana hacia Victoria
